Spanish,English
haciendo,doing
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,should
tenía,I had
mal,wrong
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,Mommy
tienen,have
luego,soon
todas,all
allí,there
toda,all
hora,hour
mujer,woman
visto,viewed
haces,you do
importa,matters
contigo,with you
ve,go
tarde,late
oye,hears
parte,part
haber,to have
hombres,mens
problema,trouble
mas,more
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,each
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,maybe
debo,I shall
alguna,some
cierto,certain
ud,You
muerto,dead
unos,some
estos,these
salir,leave
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,Dear
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,careful
pasó,step
buenas,good
somos,are
amor,love
puerta,door
ves,you see
vaya,Wow
ah,ah
suerte,lucky
eh,Hey
rápido,Quick
cuenta,account
quizás,maybe
esas,those
pues,well
pasado,past
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,shape
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,within
hice,I did
contra,against
auto,car
camino,road
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,afraid
adiós,goodbye
primero,First
debería,should
poder,can
niños,kids
sería,would
historia,story
hey,hey
mientras,While
ciudad,town
dijiste,said
espero,I hope
cuánto,how much
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,must
deja,let
año,year
muerte,death
hablando,talking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,happen
vale,okay
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,people
capitán,captain
adelante,go ahead
niño,boy
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,go on
grande,big
arriba,above
jefe,boss
habla,speaks
supongo,I suppose
manera,way
quieren,they want
feliz,happy
significa,Means
sangre,blood
fin,end
bajo,under
llama,call
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,any
corazón,heart
diablos,Devils
necesitamos,need
atrás,behind
durante,during
dices,say
nuestros,our
persona,person
abajo,under
dr,dr
hija,daughter
dejar,let
necesita,needs to
llegar,to get
hago,do
señora,Ms
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,at least
genial,cool
cree,cree
supuesto,supposed
tomar,drink
equipo,team
justo,just
juego,play
ninguna,none
matar,kill
cinco,five
dicen,say
amo,love
cuándo,when
pequeño,small
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nails
muchos,Many
hubiera,had
segundo,second
aunque,even if
pueda,can
dime,tell me
igual,same
comida,food
ay,Oh
cuerpo,Body
encontrar,find
fuerte,strong
vuelta,return
venga,come on
creer,believe
realidad,reality
saben,they know
puta,bitch
deberías,you should
pregunta,question
fui,I was
cuatro,four
sra,Ms
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damned
comer,eat
número,number
dar,give
necesitas,you need
oportunidad,chance
punto,point
misma,same
última,last
afuera,outside
mujeres,women
pensar,think
fueron,They were
difícil,hard
vivir,to live
paso,He passed
malo,bad
estabas,you were
vivo,alive
haga,make
queda,remains
hijos,children
mayor,higher
fiesta,party
hacen,make
medio,half
algunas,some
basta,Enough
arma,weapon
vino,wine
meses,months
cuarto,bedroom
éste,this
escuela,school
esté,this
dólares,Dollars
tío,uncle
posible,possible
